Typ,ICD/Slug,Name,URL,Live-Status,v5-Status
Krankheit,Q20,Angeborener Herzfehler,https://www.gesundheitsinformation.de/herzfehler-bei-kindern.html,❌ defekt,❌ URL defekt — v4-URL war 404; entfernt in v5
Krankheit,Q65,Hüftdysplasie,—,—,⚠️ Quelle nicht verlinkt im Export
Krankheit,Q89,Marfan-Syndrom,—,—,⚠️ Quelle nicht verlinkt im Export
Krankheit,Q61,Zystische Nierenerkrankung,—,—,⚠️ Quelle nicht verlinkt im Export
Krankheit,J20,Akute Bronchitis,https://www.gesundheitsinformation.de/akute-bronchitis.html,200 OK,✅ URL live + semantisch passend
Krankheit,J06,Akute Erkältung,https://www.gesundheitsinformation.de/erkaeltung.html,200 OK,✅ URL live + semantisch passend
Krankheit,J45,Asthma bronchiale,https://ginasthma.org,200 OK,✅ URL live + semantisch passend
Krankheit,J96,Atemversagen,—,—,⚠️ Quelle nicht verlinkt im Export
Krankheit,J44,COPD,https://goldcopd.org,200 OK,✅ URL live + semantisch passend
Krankheit,J02,Halsschmerzen,https://www.gesundheitsinformation.de/erkaeltung.html,200 OK,✅ URL live + semantisch passend
Krankheit,J38,Heiserkeit,https://www.gesundheitsinformation.de/heiserkeit.html,❌ defekt,❌ URL defekt — v4-URL war 404; entfernt in v5
Krankheit,J30,Heuschnupfen,https://www.gesundheitsinformation.de/allergien.html,200 OK,✅ URL live + semantisch passend
Krankheit,R05,Husten,https://www.gesundheitsinformation.de/husten.html,200 OK,✅ URL live + semantisch passend
Krankheit,J10,Influenza,https://www.gesundheitsinformation.de/grippe.html,200 OK,✅ URL live + semantisch passend
Krankheit,J18,Lungenentzündung,https://www.gesundheitsinformation.de/lungenentzuendung.html,200 OK,✅ URL live + semantisch passend
Krankheit,J03,Mandelentzündung,https://www.gesundheitsinformation.de/mandelentzuendung.html,200 OK,✅ URL live + semantisch passend
Krankheit,J32,Nasennebenhöhlenentzündung,https://www.gesundheitsinformation.de/nasennebenhoehlenentzuendung.html,200 OK,✅ URL live + semantisch passend
Krankheit,J95,Pneumothorax,—,—,⚠️ Quelle nicht verlinkt im Export
Krankheit,J00,Schnupfen,https://www.gesundheitsinformation.de/erkaeltung.html,200 OK,✅ URL live + semantisch passend
Krankheit,J12,Virale Lungenentzündung,https://www.gesundheitsinformation.de/lungenentzuendung.html,200 OK,✅ URL live + semantisch passend
Krankheit,H10,Bindehautentzündung,https://www.gesundheitsinformation.de/bindehautentzuendung.html,200 OK,✅ URL live + semantisch passend
Krankheit,H61,Cerumen-Pfropf,https://www.gesundheitsinformation.de/ohrenschmalz-pfropf.html,200 OK,✅ URL live + semantisch passend
Krankheit,H00,Gerstenkorn,https://www.gesundheitsinformation.de/gerstenkorn-und-hagelkorn-augenlidentzuendung.html,200 OK,✅ URL live + semantisch passend
Krankheit,H25,Grauer Star,https://www.gesundheitsinformation.de/grauer-star-katarakt.html,200 OK,✅ URL live + semantisch passend
Krankheit,H40,Grüner Star,https://www.gesundheitsinformation.de/gruener-star-glaukom.html,200 OK,✅ URL live + semantisch passend
Krankheit,H26,Katarakt,https://www.gesundheitsinformation.de/grauer-star-katarakt.html,200 OK,✅ URL live + semantisch passend
Krankheit,H52,Kurzsichtigkeit,https://www.gesundheitsinformation.de/kurzsichtigkeit-myopie.html,200 OK,✅ URL live + semantisch passend
